Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_QuestAccepted,"Quest accepted","Quest accepted","Úkol přijat","Quest akzeptiert","Квест принят","Misja przyjęta","A küldetés elfogadva","Quest accettata","Misión aceptada","Quête acceptée","接受任務","クエスト受理","Missão aceita","接受任务"
STR_QuestBeenAccepted,"was accepted","was accepted","byl přijat","wurde akzeptiert","был принят!","zostało zaakceptowane","elfogadták","era accettato","Fue aceptado","a été accepté","被接受","受け入れられました","Foi aceito","被接受"
STR_QuestCompleted,"Quest completed","Quest completed","Úkol dokončen","Quest abgeschlossen","Квест выполнен","Zadanie zakończone","Küldetés befejezése","Missione completata","Misión completada","Quête terminée","任務完成","クエスト完了","Missão concluída","任务完成"
STR_QuestObjectivesCompleted,"All goals were met","All goals were met","Všechny cíle byly splněny","Alle Ziele wurden erreicht","Все цели были выполнены","Wszystkie cele zostały osiągnięte","Minden cél teljesült","Tutti gli obiettivi sono stati raggiunti","Todos los objetivos se cumplieron","Tous les objectifs ont été atteints","所有目標都達到了","すべての目標が達成されました","Todas as metas foram cumpridas","所有目标都达到了"
STR_QuestFailed,"Quest failed","Quest failed","Úkol se nezdařil","Suche fehlgeschlagen","Квест провален","Zadanie nie powiodło się","A küldetés nem sikerült","Quest fallita","Misión fallida","Échec de la quête","任務失敗","クエスト失敗","A missão falhou","任务失败"
STR_QuestFailed_1,"failed","failed","nepodařilo","fehlgeschlagen","провален!","przegrany","nem sikerült","fallito","fallido","échoué","失敗的","失敗した","fracassado","失败的"
STR_QuestCanceled,"Quest canceled","Quest canceled","Úkol zrušen","Quest abgebrochen","Квест отменен","Zadanie anulowane","A küldetés törölve","Quest annullata","misión cancelada","Quête annulée","任務取消","クエストがキャンセルされました","Missão cancelada","任务取消"
STR_QuestBeenCanceled,"was cancelled","was cancelled","bylo zrušeno","fällt aus","был отменен!","zostało odwołane","törölték","è stato cancellato","fue cancelado","a été annulé","被取消","キャンセルされました","foi cancelado","被取消"
STR_QuestTurnIn,"Turn in the quest","Turn in the quest","Odevzdejte quest","Gib die Quest ab","Квест сдан","Włącz zadanie","Kapcsolja be a küldetést","Consegna la ricerca","Entregar la búsqueda","Rendre la quête","上交任務","クエストを提出する","Entregue a missão","上交任务"
STR_QuestBeenTurnIn,"It was performed","It was performed","Bylo provedeno","Es wurde durchgeführt","был выполнен!","Został wykonany","Előadták","È stato eseguito","fue realizado","Il a été exécuté","它被執行","実行されました","Foi realizado","它被执行"
STR_ObjectiveCompleted,"Goal accomplished","Goal accomplished","Cíl splněn","Ziel erreicht","Цель выполнена","Cel osiągnięty","A cél teljesítve","Obiettivo raggiunto","Meta cumplida","Objectif atteint","目標達成","目標達成","Meta cumprida","目标达成"
STR_QuestCompletedObjectiveQuest,"You completed the goal","You completed the goal","Splnili jste cíl","Du hast das Ziel erreicht","Вы выполнили цель","Osiągnąłeś cel","Teljesítetted a célt","Hai completato l'obiettivo","Has completado el objetivo","Vous avez atteint l'objectif","你完成了目標","目標を達成しました","Você completou a meta","你完成了目标"
STR_QuestCooldown,"Quest Reload","Quest Reload","Quest Reload","Quest neu laden","Перезарядка квеста","Przeładowanie zadania","Küldetés újratöltése","Ricarica missione","Recarga de misión","Rechargement de quête","任務重裝","クエストリロード","Recarregar missão","任务重装"
